"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","tv_s","ooh_s","print_s","facebook_s","search_s","cluster","top_sol"
"1","2_463_3",0,0.316949352595034,0.0695522095582091,NA,0.0695522095582091,0.317276794083431,0.329333517297016,0.62123340875663,0.435122784486268,0.197194669176536,6,FALSE
"2","2_546_2",0,0.259211381532806,0.0706706239092713,NA,0.0706706239092713,0.206561922689498,0.464161155464512,1,0.0584779281262484,0.294041915520511,3,FALSE
"3","2_576_2",0,0.272451327262228,0.0702534323059911,NA,0.0702534323059911,0.178015140805844,0.324643962524405,0.514706103388664,0.427347626879975,0.161057186820741,6,FALSE
"4","2_579_1",0,0.252574783973185,0.0707060473312653,NA,0.0707060473312653,0.153451009793169,0.374770647463522,0.517873733460415,0.311603900434244,0.265439351792953,6,FALSE
"5","2_615_3",0,0.524689960870536,0.0686727989469098,NA,0.0686727989469098,1,0,0.470270292458676,1,0.264069406010768,1,FALSE
"6","2_617_1",0,0.231667474226939,0.070950876493745,NA,0.070950876493745,0.120324990284573,0.431514386579619,0.842778836678137,0.0935722602692492,0.231961749916399,3,FALSE
"7","2_638_2",0,0.199432610229844,0.0714990921309637,NA,0.0714990921309637,0.09569533190229,0.371572903758174,0,0,0.274877042682094,5,TRUE
"8","2_647_1",0,0.36926717284007,0.0688797602923711,NA,0.0688797602923711,0.418835288080213,0.23946578626474,0.519254902251199,0.769497710438503,0.128306855944698,1,FALSE
"9","2_655_1",0,0.340073546672074,0.0692748466379969,NA,0.0692748466379969,0.40049181810984,0.377089159189163,0.407351704190777,0.615073138408251,0.238842188886334,1,FALSE
"10","2_657_1",0,0.395499465026567,0.068806090036367,NA,0.068806090036367,0.455622978017065,0.157284568786326,0.429473589510536,0.968166500902993,0.179525321488363,1,FALSE
"11","2_657_3",0,0.271644402046972,0.0703458261734883,NA,0.0703458261734883,0.256930985418857,0.458643657012266,0.788484633459344,0.0708475321762487,0.245305086584979,3,FALSE
"12","2_658_3",0,0.435509743298513,0.0686836165725849,NA,0.0686836165725849,0.707217522679522,0.272678729615476,0.569565673587322,0.93789814834919,0.465046630513074,1,FALSE
"13","4_603_3",0,0.167317456188706,0.0725806538805167,NA,0.0725806538805167,0,0.718265254764555,0.68116259691291,0.039092749786689,0.474438331815316,3,FALSE
"14","4_605_3",0,0.182708166429757,0.0722391770806954,NA,0.0722391770806954,0.00380618608022303,0.655859706676277,0.800454010738247,0.128740038019863,0.424427145485565,3,FALSE
"15","4_613_3",0,0.149818609708781,0.0726373341615663,NA,0.0726373341615663,0.000210452529197425,0.741947950568809,0.197062412169824,0.0609405711030165,0.537694643869494,2,FALSE
"16","4_617_2",0,0.199222019432067,0.0715637811451833,NA,0.0715637811451833,0.125649615669113,0.664394115055062,0.23965850634237,0.146831203269526,0.501869906674857,2,TRUE
